[22:40:44] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.15.3
[22:40:44] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[22:40:44] [main/INFO]: Loading 4 mods:
	- fabricloader 0.15.3
	   \-- mixinextras 0.3.2
	- java 21
	- minecraft 1.20.1
[22:40:45] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/minecraft-sever/libraries/net/fabricmc/sponge-mixin/0.12.5+mixin.0.8.5/sponge-mixin-0.12.5+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[22:40:55] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:137) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:115) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:470) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.15.3.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[server.jar:1.0.0]
[22:40:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:40:58] [main/INFO]: Loaded 7 recipes
[22:40:58] [main/INFO]: Loaded 1271 advancements
[22:40:59] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:40:59] [Server thread/INFO]: Loading properties
[22:40:59] [Server thread/INFO]: Default game type: SURVIVAL
[22:40:59] [Server thread/INFO]: Generating keypair
[22:40:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:40:59] [Server thread/INFO]: Using epoll channel type
[22:40:59] [Server thread/INFO]: Preparing level "world"
[22:41:15] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:18] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:19] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:19] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:21] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:21] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:21] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:22] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:22] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:23] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:29] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:29] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:31] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:31] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:32] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:32] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:33] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:33] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:34] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:34] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:35] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:35] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:36] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:36] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:38] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:38] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:40] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[22:41:40] [Worker-Main-5/INFO]: Preparing spawn area: 0%
